ProductID,ProductName,SalesDate,Sales
1,Apple iPhone 16,2024-09-26,2314
2,Vivo X100,2024-12-25,1478
3,Samsung Galaxy S24,2024-05-16,1016
4,Asus ROG Phone 7,2024-03-03,1123
5,Xiaomi Mi 14,2024-12-27,4547
6,Sony Xperia 1 VI,2024-12-04,928
7,Vivo X100,2024-06-01,1874
8,Asus ROG Phone 7,2024-06-06,3866
9,Apple iPhone 16,2024-10-24,4569
10,Realme GT 5,2024-06-26,2065
11,OnePlus 12,2024-03-21,4175
12,Apple iPhone 16,2024-11-05,1956
13,Realme GT 5,2024-10-08,2357
14,Google Pixel 9,2024-03-20,1234
15,Oppo Find X7,2024-11-22,913
16,Samsung Galaxy S24,2024-08-09,3885
17,OnePlus 12,2024-11-07,1503
18,Realme GT 5,2024-09-22,578
19,Vivo X100,2024-07-21,2649
20,Sony Xperia 1 VI,2024-09-22,4565
21,Realme GT 5,2024-02-20,4052
22,Samsung Galaxy S24,2024-10-16,1013
23,Samsung Galaxy S24,2024-08-02,2922
24,Samsung Galaxy S24,2024-04-28,3944
25,OnePlus 12,2024-08-12,4932
26,OnePlus 12,2024-05-13,3474
27,Sony Xperia 1 VI,2024-09-15,1986
28,OnePlus 12,2024-02-19,1309
29,Asus ROG Phone 7,2024-03-16,4139
30,OnePlus 12,2024-12-04,2346
31,Realme GT 5,2024-03-10,1236
32,Samsung Galaxy S24,2024-07-07,1663
33,Oppo Find X7,2024-03-22,3076
34,Xiaomi Mi 14,2024-10-11,4698
35,Samsung Galaxy S24,2024-03-23,3139
36,OnePlus 12,2024-06-06,2056
37,Oppo Find X7,2024-08-11,2038
38,OnePlus 12,2024-11-19,3624
39,Asus ROG Phone 7,2024-01-02,2221
40,Sony Xperia 1 VI,2024-03-21,1707
41,Apple iPhone 16,2024-11-02,2708
42,Apple iPhone 16,2024-01-06,3025
43,Oppo Find X7,2024-09-16,3108
44,Apple iPhone 16,2024-10-06,3091
45,Xiaomi Mi 14,2024-06-19,850
46,Sony Xperia 1 VI,2024-06-10,2985
47,Samsung Galaxy S24,2024-05-16,1853
48,Google Pixel 9,2024-04-19,2644
49,Vivo X100,2024-07-28,4798
50,Google Pixel 9,2024-03-27,912
51,Vivo X100,2024-07-22,2757
52,OnePlus 12,2024-07-04,2350
53,Vivo X100,2024-02-01,2394
54,Oppo Find X7,2024-10-27,3735
55,Xiaomi Mi 14,2024-11-16,4645
56,Oppo Find X7,2024-04-26,2647
57,OnePlus 12,2024-12-03,1113
58,Realme GT 5,2024-05-09,632
59,Sony Xperia 1 VI,2024-12-01,4573
60,Samsung Galaxy S24,2024-04-11,2533
61,Oppo Find X7,2024-12-12,1826
62,Xiaomi Mi 14,2024-11-07,2738
63,Realme GT 5,2024-10-05,4159
64,Apple iPhone 16,2024-07-28,565
65,Samsung Galaxy S24,2024-11-18,1263
66,Xiaomi Mi 14,2024-05-15,834
67,Realme GT 5,2024-12-03,3640
68,Samsung Galaxy S24,2024-06-21,1185
69,Oppo Find X7,2024-12-05,4199
70,Asus ROG Phone 7,2024-06-14,2718
71,Realme GT 5,2024-12-18,3048
72,Sony Xperia 1 VI,2024-07-18,1103
73,Realme GT 5,2024-12-24,2887
74,OnePlus 12,2024-06-28,3865
75,Sony Xperia 1 VI,2024-03-19,2375
76,Google Pixel 9,2024-06-19,986
77,Sony Xperia 1 VI,2024-08-06,4091
78,Xiaomi Mi 14,2024-10-11,506
79,Samsung Galaxy S24,2024-09-09,3837
80,Samsung Galaxy S24,2024-05-06,1338
81,Vivo X100,2024-01-26,4902
82,Realme GT 5,2024-04-17,3955
83,Xiaomi Mi 14,2024-07-20,4051
84,Apple iPhone 16,2024-04-12,1472
85,Sony Xperia 1 VI,2024-03-12,1955
86,Samsung Galaxy S24,2024-03-11,4359
87,Oppo Find X7,2024-05-22,1225
88,Realme GT 5,2024-06-05,2414
89,Apple iPhone 16,2024-09-13,1772
90,Xiaomi Mi 14,2024-10-26,1510
91,Realme GT 5,2024-08-23,2560
92,Asus ROG Phone 7,2024-01-16,2621
93,Oppo Find X7,2024-12-04,2629
94,Samsung Galaxy S24,2024-01-06,2426
95,Apple iPhone 16,2024-08-04,4764
96,Xiaomi Mi 14,2024-03-10,1977
97,Sony Xperia 1 VI,2024-01-12,1876
98,Apple iPhone 16,2024-11-04,1385
99,Apple iPhone 16,2024-08-14,4108
100,Sony Xperia 1 VI,2024-11-10,2595
